id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0082971,Raiders of the Lost Ark,movie,"Action, Adventure",8.4,1074423.0,1981.0,tm128131,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fles-aventuriers-de-larche-perdue%2F1iKh3IKEFc2N&subId3=justappsvod,Disney+,12+,'us'
tt0082971,Raiders of the Lost Ark,movie,"Action, Adventure",8.4,1074423.0,1981.0,tm128131,3.0,tous publics,https://www.netflix.com/title/60011649,Netflix,13+,'us'
tt0097576,Indiana Jones and the Last Crusade,movie,"Action, Adventure",8.2,838705.0,1989.0,tm140316,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Findiana-jones-et-la-derniere-croisade%2F5zqAAQzi5YlH&subId3=justappsvod,Disney+,12+,'us'
tt0097576,Indiana Jones and the Last Crusade,movie,"Action, Adventure",8.2,838705.0,1989.0,tm140316,3.0,tous publics,https://www.netflix.com/title/60010487,Netflix,13+,'us'
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),movie,"Comedy, Drama",7.7,682235.0,2014.0,tm151077,4.0,tous publics,https://www.netflix.com/title/80000643,Netflix,13+,'us'
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),movie,"Comedy, Drama",7.7,682235.0,2014.0,tm151077,4.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fbirdman-ou-la-surprenante-vertu-de-lignorance%2F19aMxvFouvLw&subId3=justappsvod,Disney+,16+,'us'
tt0356910,Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",6.5,568086.0,2005.0,tm176981,2.0,tous publics,https://www.netflix.com/title/70021641,Netflix,16+,'us'
tt0356910,Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",6.5,568086.0,2005.0,tm176981,2.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmr-et-mrs-smith%2F6wcMo7bXZAGA&subId3=justappsvod,Disney+,16+,'us'
tt0087469,Indiana Jones and the Temple of Doom,movie,"Action, Adventure",7.5,552309.0,1984.0,tm168802,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Findiana-jones-et-le-temple-maudit%2F3WPnpSTfwhgU&subId3=justappsvod,Disney+,12+,'us'
tt0087469,Indiana Jones and the Temple of Doom,movie,"Action, Adventure",7.5,552309.0,1984.0,tm168802,3.0,tous publics,https://www.netflix.com/title/60010488,Netflix,13+,'us'
